time,close,high,low,open,volumefrom,volumeto
1530835200,1.17,1.18,1.15,1.17,749375.97,887875.52
1530921600,1.17,1.18,1.14,1.17,557783.44,667883.78
1531008000,1.16,1.18,1.14,1.17,961651.62,1144995.65
1531094400,1.17,1.18,1.16,1.16,902289.38,1071215.35
1531180800,1.17,1.17,1.16,1.17,426835.22,509607.11
1531267200,1.16,1.17,1.16,1.17,719337,865752.64
1531353600,1.17,1.17,1.15,1.16,878865.75,1033112.74
1531440000,1.17,1.17,1.15,1.17,1482279.45,1747318.25
1531526400,1.17,1.17,1.16,1.17,888852.5,1046287.77
1531612800,1.16,1.17,1.15,1.17,658290.69,776086.08
1531699200,1.17,1.17,1.16,1.16,2619603.19,3084655.27
1531785600,1.16,1.17,1.16,1.17,4548677.63,5356763.2
1531872000,1.16,1.17,1.16,1.16,3327332.96,3912746.42
1531958400,1.17,1.17,1.15,1.16,2438081.46,2850204.62
1532044800,1.17,1.17,1.16,1.17,3289837.13,3840488.84
1532131200,1.17,1.17,1.16,1.17,3506251.7,4102337.12
1532217600,1.17,1.21,1.17,1.17,2331075.23,2727365.52
1532304000,1.17,1.17,1.16,1.17,3574547.9,4185611.23
1532390400,1.17,1.17,1.16,1.17,2285501.86,2671560.51
1532476800,1.17,1.17,1.16,1.17,555045.34,648804.87
1532563200,1.16,1.17,1.16,1.17,377945.3,441445.16
1532649600,1.16,1.17,1.16,1.16,239392.78,278825.28
1532736000,1.16,1.17,1.16,1.16,85504.21,99581.7
1532822400,1.17,1.17,1.15,1.16,68950.93,80434.51
1532908800,1.17,1.17,1.16,1.17,195770.42,228732.03
1532995200,1.17,1.17,1.17,1.17,466896.94,546660.17
1533081600,1.17,1.17,1.16,1.17,328696.7,383684.46
1533168000,1.16,1.17,1.15,1.17,364986.23,423720.28
1533254400,1.16,1.16,1.15,1.16,1001987.05,1162493.15
1533340800,1.16,1.16,1.15,1.16,426898.43,494708.27
1533427200,1.16,1.16,1.14,1.16,194930.24,225656.48
1533513600,1.16,1.16,1.15,1.16,747273.29,864798.55
1533600000,1.16,1.16,1.15,1.16,844604.39,979702.35
1533686400,1.16,1.17,1.16,1.16,676089.95,784566.45
1533772800,1.15,1.17,1.15,1.16,439702.5,509506.43
1533859200,1.14,1.16,1.14,1.15,844720.82,967665.67
1533945600,1.14,1.15,1.13,1.14,423009.56,482010.13
1534032000,1.14,1.14,1.12,1.14,255485.8,291078.79
1534118400,1.14,1.14,1.13,1.14,423294.98,482057.81
1534204800,1.13,1.15,1.13,1.14,855133.32,973120.49
1534291200,1.13,1.14,1.13,1.13,250989.87,284059.46
1534377600,1.13,1.14,1.13,1.13,497156.92,564773.14
1534464000,1.14,1.15,1.13,1.13,736160.54,839267.28
1534550400,1.14,1.15,1.14,1.14,597584.9,683307.54
1534636800,1.14,1.16,1.14,1.14,638164.54,732583.81
1534723200,1.15,1.15,1.14,1.14,689968.17,788617.22
1534809600,1.15,1.16,1.14,1.15,711868.47,821315.56
1534896000,1.16,1.16,1.14,1.15,418559.28,484483.82
1534982400,1.15,1.16,1.15,1.16,205803.18,237831.63
1535068800,1.16,1.17,1.14,1.15,1415178.1,1636462.44
1535155200,1.16,1.17,1.15,1.16,65978.36,77856.41
1535241600,1.16,1.17,1.15,1.16,93220.27,108194.92
1535328000,1.17,1.17,1.15,1.16,382305.58,445377.19
1535414400,1.17,1.17,1.16,1.17,1139928.96,1333030.3
1535500800,1.17,1.17,1.16,1.17,517103.54,603986.16
1535587200,1.16,1.17,1.15,1.17,533161.03,622360.52
1535673600,1.16,1.17,1.15,1.16,1290115.88,1500434.34
1535760000,1.17,1.17,1.16,1.16,306328.67,355617.24
1535846400,1.16,1.17,1.13,1.17,208411.45,241862.48
1535932800,1.16,1.17,1.15,1.16,349792.09,406462.25
1536019200,1.16,1.17,1.15,1.16,764708.02,886960.31
1536105600,1.16,1.17,1.15,1.16,744901.32,864217.16
1536192000,1.16,1.17,1.08,1.16,797213.52,923154.88
1536278400,1.15,1.17,1.14,1.16,342669.52,396607.32
1536364800,1.15,1.16,1.1,1.15,233617.19,269187.65
1536451200,1.15,1.16,1.13,1.15,157826.62,181791.2
1536537600,1.16,1.16,1.15,1.15,1058449.83,1225073.2
1536624000,1.16,1.16,1.15,1.16,531218.17,613814.02
1536710400,1.16,1.16,1.15,1.16,415680.59,481411.77
1536796800,1.17,1.17,1.16,1.16,1905260,2215353.51
1536883200,1.16,1.17,1.15,1.17,1092564.74,1272762.71
1536969600,1.16,1.17,1.15,1.16,202761.75,235731.78
1537056000,1.16,1.16,1.15,1.16,286500.37,332444.8
1537142400,1.17,1.17,1.16,1.16,771098.43,898138.16
1537228800,1.16,1.17,1.14,1.17,1357807,1582152.87
1537315200,1.16,1.17,1.16,1.16,473507.24,551796.26
1537401600,1.18,1.18,1.16,1.16,1630047.98,1916325.08
1537488000,1.18,1.18,1.16,1.18,1843135.41,2163248.49
1537574400,1.18,1.18,1.17,1.18,814858.94,955901.3
1537660800,1.17,1.18,1.17,1.18,208091.09,243887.51
1537747200,1.18,1.18,1.17,1.17,772682.25,907780.03
1537833600,1.17,1.18,1.17,1.18,689013.57,808613.77
1537920000,1.17,1.18,1.17,1.17,454200.85,532865.89
1538006400,1.16,1.18,1.16,1.17,660175.37,771207.78
1538092800,1.15,1.17,1.15,1.16,371670.59,430377.54
1538179200,1.15,1.16,1.15,1.15,191973.29,221496
1538265600,1.16,1.16,1.14,1.15,169788.36,196252.78
1538352000,1.16,1.16,1.14,1.16,612551.39,708858.98
1538438400,1.15,1.16,1.15,1.16,507782.98,583178.54
1538524800,1.15,1.16,1.15,1.15,361299.41,416809.54
1538611200,1.15,1.15,1.14,1.15,610068.88,700224.82
1538697600,1.15,1.15,1.14,1.15,358214.16,411266.38
1538784000,1.15,1.2,1.14,1.15,1415318.98,1646309.18
1538870400,1.15,1.16,1,1.15,1703076.55,1947709.4
1538956800,1.14,1.15,1.14,1.15,486783.49,557976.69
1539043200,1.14,1.15,1.12,1.14,374999.95,427272.24
1539129600,1.15,1.16,1.14,1.14,473120.84,543908.02
1539216000,1.16,1.17,1.14,1.15,1222753.88,1411042.52
1539302400,1.15,1.17,1.14,1.16,663231.76,767402.83
1539388800,1.15,1.16,1.14,1.15,479889.14,552608.81
1539475200,1.15,1.16,1.14,1.15,478755.9,551977.47
1539561600,1.16,1.16,1.15,1.15,1187600.63,1370362.03
1539648000,1.15,1.16,1.15,1.16,439329.67,506829.08
1539734400,1.14,1.16,1.14,1.15,256170.12,293743.69
1539820800,1.13,1.15,1.13,1.14,888712.6,1018393.4
1539907200,1.15,1.16,1.13,1.13,1263059,1456093.82
1539993600,1.15,1.15,1.13,1.15,147077.96,168616.64
1540080000,1.15,1.15,1.14,1.15,211569.64,242091.76
1540166400,1.14,1.15,1.14,1.15,566762.8,649075.93
1540252800,1.15,1.15,1.14,1.14,822106.22,940828.78
1540339200,1.14,1.15,1.13,1.15,423369.14,480280.7
1540425600,1.14,1.14,1.13,1.14,325739.61,369781.29
1540512000,1.13,1.14,1.12,1.14,367402.22,415478.81
1540598400,1.13,1.14,1.09,1.13,55339.09,62643.63
1540684800,1.14,1.14,1.09,1.13,201739.63,228691.43
1540771200,1.14,1.14,1.13,1.14,686435.59,776628.08
1540857600,1.13,1.14,1.12,1.14,246780.83,279252.25
1540944000,1.13,1.14,1.12,1.13,382240.48,429963.55
1541030400,1.13,1.14,1.12,1.13,390905.88,442920.65
1541116800,1.14,1.14,1.13,1.13,812810.78,924388.23
1541203200,1.14,1.14,1.11,1.14,58342.15,66241.83
1541289600,1.14,1.14,1.06,1.14,226506.11,255000.84
1541376000,1.13,1.14,1.13,1.14,399450.67,453026.31
1541462400,1.14,1.14,1.13,1.13,673479.51,766569.78
1541548800,1.13,1.15,1.13,1.14,521619.92,594037.13
1541635200,1.13,1.14,1.12,1.13,595514.73,677610.22
1541721600,1.12,1.14,1.12,1.13,457449.98,516284.22
1541808000,1.13,1.14,1.1,1.12,61444.67,69185.02
1541894400,1.13,1.14,1.1,1.13,83658.62,94243.09
1541980800,1.12,1.13,1.1,1.13,578120.45,648217.11
1542067200,1.12,1.13,1.11,1.12,475757.04,531941.1
1542153600,1.12,1.13,1.11,1.12,1642043.63,1846200
1542240000,1.13,1.13,1.12,1.12,916616.86,1032991.87
1542326400,1.14,1.15,1.1,1.13,401517.11,454885.8
1542412800,1.14,1.16,1.13,1.14,107347.52,122586.86
1542499200,1.13,1.14,1.11,1.14,121522.12,138055.92
1542585600,1.15,1.15,1.13,1.13,1212684.93,1381729.81
1542672000,1.13,1.15,1.13,1.15,2136734.42,2433739.56
1542758400,1.14,1.14,1.13,1.13,1176882.14,1336841.9
1542844800,1.14,1.15,1.13,1.14,345810.17,393058.76
1542931200,1.12,1.14,1.12,1.14,977055.72,1107498.55
1543017600,1.13,1.14,1.11,1.12,570729.2,645115.64
1543104000,1.13,1.14,1.1,1.13,1059295.47,1198267.46
1543190400,1.13,1.14,1.12,1.13,655768.67,741136.13
1543276800,1.13,1.14,1.12,1.13,717366.44,809587.13
1543363200,1.13,1.14,1.12,1.13,967557.34,1091376.62
1543449600,1.14,1.14,1.12,1.13,541172.3,613288.05
1543536000,1.12,1.14,1.12,1.14,380051.3,429625.54
1543622400,1.11,1.13,1.1,1.12,121411.7,136873.04
1543708800,1.12,1.13,1.11,1.11,156526.64,176185.2
1543795200,1.13,1.14,1.12,1.12,417232.56,472304.01
1543881600,1.13,1.15,1.12,1.13,492100.8,557408.31
1543968000,1.14,1.14,1.09,1.13,392623.04,443837.89
1544054400,1.14,1.14,1.12,1.14,691676.69,784569.59
1544140800,1.14,1.14,1.13,1.14,1330920.47,1510836.22
1544227200,1.13,1.16,1.13,1.14,315793.47,359066.89
1544313600,1.13,1.14,1.12,1.13,173229.37,195340.15
1544400000,1.13,1.15,1.12,1.13,593801.38,672354.39
1544486400,1.13,1.14,1.12,1.13,572288.33,647460.82
1544572800,1.13,1.14,1.12,1.13,416473.42,470147.3
1544659200,1.13,1.14,1.1,1.13,571729.04,646981.06
1544745600,1.11,1.14,1.11,1.13,373568.32,419948.51
1544832000,1.12,1.13,1.09,1.11,82439.9,92515.77
1544918400,1.13,1.13,1.09,1.12,109457.99,122363.59
1545004800,1.13,1.14,1.12,1.13,699154.82,788088.98
1545091200,1.13,1.15,1.11,1.13,303536.86,344579.45
1545177600,1.13,1.14,1.13,1.13,772749.84,877854.76
1545264000,1.14,1.15,1.04,1.13,2025737.57,2270483.59
1545350400,1.13,1.15,1.12,1.14,978190.38,1112336.09
1545436800,1.13,1.14,1.1,1.13,118595.66,133908.24
1545523200,1.13,1.13,1.1,1.13,234827.62,265503.2
1545609600,1.13,1.14,1.13,1.13,693231.42,788712.07
1545696000,1.14,1.14,1.12,1.13,688494.43,779357.49
1545782400,1.12,1.15,1.12,1.14,119908.73,136487.05
1545868800,1.13,1.15,1.12,1.12,274832.04,312774.16
1545955200,1.14,1.16,1.13,1.13,509341.12,581654.18
1546041600,1.14,1.15,1.13,1.14,427749.71,488100.38
1546128000,1.14,1.16,1.13,1.14,312030.18,355128.26
1546214400,1.13,1.15,1.13,1.14,272826.76,310527.54
1546300800,1.14,1.16,1.13,1.13,158735.35,181734.93
1546387200,1.13,1.15,1.13,1.14,267484.29,304138.98
1546473600,1.14,1.14,1.13,1.13,223004.11,253441.24
1546560000,1.13,1.15,1.12,1.14,146438.87,166898.53
1546646400,1.12,1.15,1.11,1.13,135079.08,153007.59
1546732800,1.14,1.14,1.12,1.12,267552.18,303912.48
1546819200,1.13,1.15,1.12,1.14,298222.87,340277.79
1546905600,1.14,1.16,1.11,1.13,248195.59,283256.46
1546992000,1.15,1.15,1.11,1.14,334143.15,382974.84
1547078400,1.15,1.16,1.13,1.15,794565.97,913881.86
1547164800,1.13,1.16,1.12,1.15,248930.69,285283.44
